time ax ay az button
0.000000 -0.000000 0.000000 0.000000 0.000000
0.002000 -0.000000 0.000000 0.000000 0.000000
0.004000 -0.000000 0.000000 0.000000 0.000000
0.006000 -0.000000 0.000000 -0.058287 0.000000
0.008000 -0.000000 -0.058263 -0.058287 0.000000
0.010000 -0.000000 -0.058190 -0.057947 0.000000
0.012000 -0.000000 -0.058144 -0.038585 0.000000
0.014000 -0.000000 -0.039833 -0.020118 0.000000
0.016000 -0.000000 -0.021358 -0.020118 0.000000
0.018000 -0.000000 -0.021337 -0.032158 0.000000
0.020000 -0.000000 -0.031974 -0.076411 0.000000
0.022000 -0.000000 -0.074289 -0.071348 0.000000
0.024000 -0.000000 -0.071840 -0.059269 0.000000
0.026000 -0.000000 -0.060210 -0.059269 0.000000
0.028000 -0.000000 -0.060125 -0.062965 0.000000
0.030000 -0.000000 -0.063069 -0.066228 0.000000
0.032000 -0.000000 -0.066291 -0.047109 0.000000
0.034000 -0.000000 -0.048389 -0.045746 0.000000
0.036000 0.001534 -0.046082 -0.045746 0.000000
0.038000 0.001534 -0.046003 -0.087831 0.000000
0.040000 0.001534 -0.086821 -0.085632 0.000000
0.042000 0.001534 -0.086058 -0.087395 0.000000
0.044000 0.001534 -0.087672 -0.087395 0.000000
0.046000 0.001534 -0.087519 -0.099261 0.000000
0.048000 0.001534 -0.099171 -0.085191 0.000000
0.050000 0.001534 -0.086216 -0.060258 0.000000
0.052000 0.001534 -0.061914 -0.057650 0.000000
0.054000 0.001534 -0.058082 -0.057650 0.000000
0.056000 0.001534 -0.057939 -0.056232 0.000000
0.058000 0.001534 -0.056438 -0.059666 0.000000
0.060000 0.001534 -0.059727 -0.063071 0.000000
0.062000 0.001534 -0.063137 -0.063071 0.000000
0.064000 0.001534 -0.063020 -0.077632 0.000000
0.066000 0.001534 -0.077418 -0.080557 0.000000
0.068000 0.001534 -0.080741 -0.066731 0.000000
0.070000 0.001534 -0.067793 -0.071497 0.000000
0.072000 0.001534 -0.071566 -0.071497 0.000000
0.074000 0.001534 -0.071453 -0.072193 0.000000
0.076000 0.001534 -0.072393 -0.051857 0.000000
0.078000 0.001534 -0.053223 -0.059938 0.000000
0.080000 0.001534 -0.059834 -0.070471 0.000000
0.082000 0.001534 -0.070220 -0.070471 0.000000
0.084000 0.001534 -0.070131 -0.072759 0.000000
0.086000 0.001534 -0.072934 -0.078335 0.000000
0.088000 0.001534 -0.078384 -0.081861 0.000000
0.090000 0.001534 -0.082005 -0.081861 0.000000
0.092000 0.001534 -0.081891 -0.081344 0.000000
0.094000 0.001534 -0.081605 -0.063736 0.000000
0.096000 0.001534 -0.064964 -0.058108 0.000000
0.098000 0.001534 -0.058727 -0.057609 0.000000
0.100000 0.001534 -0.057911 -0.057609 0.000000
0.102000 0.001534 -0.057811 -0.048159 0.000000
0.104000 0.001534 -0.048621 -0.053774 0.000000
0.106000 0.001534 -0.053752 -0.063734 0.000000
0.108000 0.001534 -0.063463 -0.063734 0.000000
0.110000 0.001534 -0.063381 -0.065151 0.000000
0.112000 0.001534 -0.065330 -0.063360 0.000000
0.114000 0.001534 -0.063726 -0.061531 0.000000
0.116000 0.001534 -0.061939 -0.061461 0.000000
0.118000 0.001534 -0.061734 -0.061461 0.000000
0.120000 0.001534 -0.061649 -0.054193 0.000000
0.122000 0.001534 -0.054578 -0.046720 0.000000
0.124000 0.001534 -0.047336 -0.042565 0.000000
0.126000 0.001534 -0.043036 -0.058140 0.000000
0.128000 0.001534 -0.057582 -0.058140 0.000000
0.130000 -0.000000 -0.057536 -0.060615 0.000000
0.132000 -0.000000 -0.060763 -0.073685 0.000000
0.134000 -0.000000 -0.073325 -0.080460 0.000000
0.136000 -0.000000 -0.080456 -0.080460 0.000000
0.138000 -0.000000 -0.080369 -0.090198 0.000000
0.140000 -0.000000 -0.090234 -0.085902 0.000000
0.142000 -0.000000 -0.086578 -0.094167 0.000000
0.144000 -0.000000 -0.094192 -0.084165 0.000000
0.146000 -0.000000 -0.085094 -0.084165 0.000000
0.148000 -0.000000 -0.084977 -0.073516 0.000000
0.150000 -0.000000 -0.074061 -0.078948 0.000000
0.152000 -0.000000 -0.078948 -0.071096 0.000000
0.154000 -0.000000 -0.071754 -0.071096 0.000000
0.156000 -0.000000 -0.071654 -0.069364 0.000000
0.158000 -0.000000 -0.069613 -0.051498 0.000000
0.160000 -0.000000 -0.052693 -0.043767 0.000000
0.162000 -0.000000 -0.044516 -0.045736 0.000000
0.164000 -0.000000 -0.045985 -0.045736 0.000000
0.166000 -0.000000 -0.045950 -0.051227 0.000000
0.168000 -0.000000 -0.051424 -0.071368 0.000000
0.170000 -0.000000 -0.070761 -0.086711 0.000000
0.172000 -0.000000 -0.086339 -0.097545 0.000000
0.174000 -0.000000 -0.097344 -0.097545 0.000000
0.176000 -0.000000 -0.097255 -0.099479 0.000000
0.178000 -0.000000 -0.099590 -0.087923 0.000000
0.180000 -0.000000 -0.088781 -0.073110 0.000000
0.182000 -0.000000 -0.074149 -0.073110 0.000000
0.184000 -0.001534 -0.074051 -0.052057 0.000000
0.186000 -0.001534 -0.052867 -0.041461 0.000000
0.188000 -0.001534 -0.042417 -0.052361 0.000000
0.190000 -0.001534 -0.052233 -0.080208 0.000000
0.192000 -0.001534 -0.079256 -0.080208 0.000000
0.194000 -0.001534 -0.079220 -0.160307 0.000000
0.196000 -0.001534 -0.158657 -0.195712 0.000000
0.198000 -0.001534 -0.194530 -0.152410 0.000000
0.200000 -0.001534 -0.155308 -0.152410 0.000000
0.202000 -0.001534 -0.155076 -0.125651 0.000000
0.204000 -0.001534 -0.126750 -0.022625 0.000000
0.206000 -0.001534 -0.028091 -0.004488 0.000000
0.208000 -0.001534 -0.005746 -0.005306 0.000000
0.210000 -0.001534 -0.005409 -0.005306 0.000000
0.212000 -0.003068 -0.005434 -0.037214 0.000000
0.214000 -0.003068 -0.036595 -0.093329 0.000000
0.216000 -0.003068 -0.090787 -0.114586 0.000000
0.218000 -0.003068 -0.113936 -0.147425 0.000000
0.220000 -0.003068 -0.146267 -0.147425 0.000000
0.222000 -0.003068 -0.146131 -0.097915 0.000000
0.224000 -0.003068 -0.099598 -0.024981 0.000000
0.226000 -0.003068 -0.029154 -0.000000 0.000000
0.228000 -0.003068 -0.001602 -0.000000 0.000000
0.230000 -0.003068 -0.001597 0.032331 0.000000
0.232000 -0.003068 0.031211 0.006339 0.000000
0.234000 -0.003068 0.007500 -0.108289 0.000000
0.236000 -0.003068 -0.102466 -0.157276 0.000000
0.238000 -0.004602 -0.154911 -0.157276 0.000000
0.240000 -0.004602 -0.154813 -0.173339 0.000000
0.242000 -0.004602 -0.173158 -0.137647 0.000000
0.244000 -0.004602 -0.140068 -0.082111 0.000000
0.246000 -0.004602 -0.085596 -0.082111 0.000000
0.248000 -0.004602 -0.085443 -0.039937 0.000000
0.250000 -0.004602 -0.041455 0.036020 0.000000
0.252000 -0.004602 0.031362 0.016868 0.000000
0.254000 -0.004602 0.017512 -0.042715 0.000000
0.256000 -0.004602 -0.039718 -0.042715 0.000000
0.258000 -0.004602 -0.039753 -0.123413 0.000000
0.260000 -0.004602 -0.121177 -0.110069 0.000000
0.262000 -0.006136 -0.110974 -0.087972 0.000000
0.264000 -0.006136 -0.089550 -0.087972 0.000000
0.266000 -0.006136 -0.089446 -0.072924 0.000000
0.268000 -0.006136 -0.073656 -0.043393 0.000000
0.270000 -0.006136 -0.045368 -0.013740 0.000000
0.272000 -0.006136 -0.015655 -0.002611 0.000000
0.274000 -0.006136 -0.003383 -0.002611 0.000000
0.276000 -0.006136 -0.003430 -0.031993 0.000000
0.278000 -0.006136 -0.031221 -0.055923 0.000000
0.280000 -0.006136 -0.054982 -0.091604 0.000000
0.282000 -0.006136 -0.090219 -0.125155 0.000000
0.284000 -0.006136 -0.123963 -0.125155 0.000000
0.286000 -0.006136 -0.123876 -0.141386 0.000000
0.288000 -0.006136 -0.141417 -0.092368 0.000000
0.290000 -0.006136 -0.095396 -0.050827 0.000000
0.292000 -0.006136 -0.053208 -0.050827 0.000000
0.294000 -0.006136 -0.053136 -0.047089 0.000000
0.296000 -0.007670 -0.047218 -0.067622 0.000000
0.298000 -0.007670 -0.066903 -0.088173 0.000000
0.300000 -0.007670 -0.087512 -0.107069 0.000000
0.302000 -0.007670 -0.106605 -0.107069 0.000000
0.304000 -0.007670 -0.106503 -0.030923 0.000000
0.306000 -0.007670 -0.033426 -0.002508 0.000000
0.308000 -0.007670 -0.003985 -0.013055 0.000000
0.310000 -0.007670 -0.012584 -0.013055 0.000000
0.312000 -0.007670 -0.012593 -0.073139 0.000000
0.314000 -0.007670 -0.071598 -0.151536 0.000000
