time ax ay az button
0.000000 -0.000000 0.000000 0.000000 0.000000
0.002000 -0.000000 -0.000000 0.000000 0.000000
0.004000 -0.000000 -0.000000 0.000000 0.000000
0.006000 -0.000000 -0.000000 0.000000 0.000000
0.008000 -0.000000 -0.000000 -0.073955 0.000000
0.010000 -0.000000 -0.073915 -0.071626 0.000000
0.012000 -0.000000 -0.069417 -0.065292 0.000000
0.014000 -0.000000 -0.066234 -0.049689 0.000000
0.016000 -0.000000 -0.060079 -0.049689 0.000000
0.018000 -0.000000 -0.059870 -0.047641 0.000000
0.020000 -0.000000 -0.055827 -0.079304 0.000000
0.022000 -0.000000 -0.066205 -0.079280 0.000000
0.024000 -0.000000 -0.071835 -0.079280 0.000000
0.026000 -0.000000 -0.071614 -0.078404 0.000000
0.028000 -0.000000 -0.074641 -0.090114 0.000000
0.030000 -0.000000 -0.080371 -0.083367 0.000000
0.032000 -0.000000 -0.081611 -0.072416 0.000000
0.034000 -0.000000 -0.079028 -0.072416 0.000000
0.036000 -0.000000 -0.078739 -0.070003 0.000000
0.038000 -0.000000 -0.075867 -0.092503 0.000000
0.040000 -0.000000 -0.082283 -0.094575 0.000000
0.042000 -0.000000 -0.086786 -0.094575 0.000000
0.044000 -0.000000 -0.086485 -0.097364 0.000000
0.046000 -0.000000 -0.090836 -0.115204 0.000000
0.048000 -0.000000 -0.098841 -0.108518 0.000000
0.050000 -0.000000 -0.101515 -0.091441 0.000000
0.052000 -0.000000 -0.097797 -0.091441 0.000000
0.054000 -0.000000 -0.097417 -0.084792 0.000000
0.056000 -0.000000 -0.091581 -0.073596 0.000000
0.058000 -0.000000 -0.085471 -0.064499 0.000000
0.060000 -0.000000 -0.079271 -0.070302 0.000000
0.062000 -0.000000 -0.077473 -0.070302 0.000000
0.064000 -0.000000 -0.077165 -0.075626 0.000000
0.066000 -0.000000 -0.076633 -0.078341 0.000000
0.068000 -0.000000 -0.077782 -0.075979 0.000000
0.070000 0.001534 -0.077910 -0.075979 0.000000
0.072000 0.001534 -0.077628 -0.078017 0.000000
0.074000 0.001534 -0.077946 -0.070971 0.000000
0.076000 0.001534 -0.076259 -0.069788 0.000000
0.078000 0.001534 -0.074267 -0.071433 0.000000
0.080000 0.001534 -0.073155 -0.071433 0.000000
0.082000 0.001534 -0.072892 -0.078249 0.000000
0.084000 0.001534 -0.075143 -0.090833 0.000000
0.086000 0.001534 -0.081814 -0.099995 0.000000
0.088000 0.001534 -0.088600 -0.099995 0.000000
0.090000 -0.000000 -0.088315 -0.106069 0.000000
0.092000 -0.000000 -0.095165 -0.108762 0.000000
0.094000 -0.000000 -0.099163 -0.107065 0.000000
0.096000 -0.000000 -0.101289 -0.099207 0.000000
0.098000 -0.000000 -0.100270 -0.099207 0.000000
0.100000 -0.000000 -0.099905 -0.091198 0.000000
0.102000 -0.000000 -0.096036 -0.075894 0.000000
0.104000 -0.000000 -0.089530 -0.064875 0.000000
0.106000 -0.000000 -0.081839 -0.064875 0.000000
0.108000 -0.000000 -0.081521 -0.062594 0.000000
0.110000 -0.000000 -0.075036 -0.055661 0.000000
0.112000 -0.000000 -0.069943 -0.055185 0.000000
0.114000 -0.000000 -0.066237 -0.046369 0.000000
0.116000 -0.000000 -0.060651 -0.046369 0.000000
0.118000 -0.000000 -0.060423 -0.048384 0.000000
0.120000 -0.000000 -0.056570 -0.048161 0.000000
0.122000 -0.000000 -0.054860 -0.043276 0.000000
0.124000 -0.000000 -0.051398 -0.051635 0.000000
0.126000 -0.000000 -0.052294 -0.051635 0.000000
0.128000 -0.000000 -0.052122 -0.078539 0.000000
0.130000 -0.000000 -0.062171 -0.087812 0.000000
0.132000 -0.000000 -0.071865 -0.099528 0.000000
0.134000 -0.000000 -0.081651 -0.099528 0.000000
0.136000 -0.000000 -0.081405 -0.097690 0.000000
0.138000 -0.000000 -0.088110 -0.108661 0.000000
0.140000 -0.000000 -0.095016 -0.105361 0.000000
0.142000 -0.000000 -0.098744 -0.093362 0.000000
0.144000 -0.000000 -0.097361 -0.093362 0.000000
0.146000 -0.000000 -0.097007 -0.077623 0.000000
0.148000 -0.000000 -0.089452 -0.078406 0.000000
0.150000 -0.000000 -0.086743 -0.073096 0.000000
0.152000 -0.000000 -0.083137 -0.073096 0.000000
0.154000 -0.000000 -0.082826 -0.075298 0.000000
0.156000 -0.000000 -0.080105 -0.101098 0.000000
0.158000 -0.000000 -0.086889 -0.100765 0.000000
0.160000 -0.000000 -0.090580 -0.091545 0.000000
0.162000 -0.000000 -0.089980 -0.091545 0.000000
0.164000 -0.000000 -0.089655 -0.080374 0.000000
0.166000 -0.000000 -0.085287 -0.060914 0.000000
0.168000 -0.000000 -0.077388 -0.048218 0.000000
0.170000 -0.000000 -0.068517 -0.041629 0.000000
0.172000 -0.000000 -0.061631 -0.041629 0.000000
0.174000 -0.000000 -0.061393 -0.071219 0.000000
0.176000 -0.000000 -0.070599 -0.094524 0.000000
0.178000 -0.000000 -0.081691 -0.115585 0.000000
0.180000 -0.000000 -0.094183 -0.115585 0.000000
0.182000 -0.000000 -0.093908 -0.135258 0.000000
0.184000 -0.000000 -0.110201 -0.155181 0.000000
0.186000 -0.000000 -0.123951 -0.120903 0.000000
0.188000 -0.000000 -0.119902 -0.089294 0.000000
0.190000 -0.000000 -0.107192 -0.089294 0.000000
0.192000 -0.000000 -0.106772 -0.047853 0.000000
0.194000 -0.000000 -0.081176 -0.041756 0.000000
0.196000 -0.000000 -0.067698 -0.032649 0.000000
0.198000 -0.000000 -0.056927 -0.032649 0.000000
0.200000 -0.000000 -0.056680 -0.044797 0.000000
0.202000 -0.000000 -0.054598 -0.110085 0.000000
0.204000 -0.000000 -0.078604 -0.144484 0.000000
0.206000 -0.000000 -0.103005 -0.148033 0.000000
0.208000 -0.000000 -0.119354 -0.148033 0.000000
0.210000 -0.000000 -0.118982 -0.141087 0.000000
0.212000 -0.000000 -0.127441 -0.054366 0.000000
0.214000 -0.000000 -0.099097 -0.003785 0.000000
0.216000 -0.000000 -0.065400 0.018802 0.000000
0.218000 -0.000000 -0.037333 0.018802 0.000000
0.220000 -0.000000 -0.037091 -0.009110 0.000000
0.222000 -0.000000 -0.028656 -0.047236 0.000000
0.224000 -0.000000 -0.036836 -0.075118 0.000000
0.226000 -0.000000 -0.051198 -0.075118 0.000000
0.228000 -0.000000 -0.051067 -0.110651 0.000000
0.230000 -0.000000 -0.075791 -0.153996 0.000000
0.232000 -0.000000 -0.103797 -0.113055 0.000000
0.234000 -0.000000 -0.106321 -0.079893 0.000000
0.236000 -0.000000 -0.097661 -0.079893 0.000000
0.238000 -0.000000 -0.097283 -0.002817 0.000000
0.240000 -0.000000 -0.062725 -0.012523 0.000000
0.242000 -0.000000 -0.046704 -0.041194 0.000000
0.244000 -0.000000 -0.045322 -0.041194 0.000000
0.246000 -0.000000 -0.045127 -0.081083 0.000000
0.248000 -0.000000 -0.059205 -0.167821 0.000000
0.250000 -0.000000 -0.092938 -0.146069 0.000000
0.252000 -0.000000 -0.106223 -0.097842 0.000000
0.254000 -0.000000 -0.099278 -0.097842 0.000000
0.256000 -0.000000 -0.098889 -0.068106 0.000000
0.258000 -0.000000 -0.084245 -0.000835 0.000000
0.260000 -0.000000 -0.057837 0.020819 0.000000
0.262000 -0.000000 -0.035204 0.020819 0.000000
0.264000 -0.000000 -0.034985 -0.006641 0.000000
0.266000 -0.000000 -0.029958 -0.135927 0.000000
0.268000 -0.000000 -0.075406 -0.161167 0.000000
0.270000 -0.000000 -0.104329 -0.154929 0.000000
0.272000 -0.000000 -0.118261 -0.154929 0.000000
0.274000 -0.000000 -0.117876 -0.104317 0.000000
0.276000 -0.000000 -0.106915 -0.027263 0.000000
0.278000 -0.000000 -0.072056 -0.014155 0.000000
0.280000 -0.000000 -0.051436 -0.009492 0.000000
0.282000 -0.000000 -0.039558 -0.009492 0.000000
0.284000 -0.000000 -0.039343 -0.088525 0.000000
0.286000 -0.000000 -0.065773 -0.136855 0.000000
0.288000 -0.000000 -0.094291 -0.145781 0.000000
0.290000 -0.000000 -0.113684 -0.145781 0.000000
0.292000 -0.000000 -0.113347 -0.141994 0.000000
0.294000 -0.000000 -0.123476 -0.081609 0.000000
0.296000 -0.000000 -0.105953 -0.043231 0.000000
0.298000 0.001534 -0.082134 -0.022707 0.000000
0.300000 0.001534 -0.060544 -0.022707 0.000000
0.302000 0.001534 -0.060189 -0.062726 0.000000
0.304000 0.001534 -0.061210 -0.090474 0.000000
0.306000 0.001534 -0.071366 -0.089945 0.000000
0.308000 0.001534 -0.077155 -0.089945 0.000000
0.310000 0.001534 -0.076867 -0.073216 0.000000
